id,time,test_loss,epochs,accuracy,depth,dense_neurons,init_filters,use_batchnorm,dropout,batch_size,learning_rate,beta1,beta2,max_epochs
38,1587593830.165123,3.1597048301696766,100,0.2925,3,132,11,False,0.5353561622610837,1024,0.00503794008060216,0.5191111278019914,0.9612399430237388,100
39,1587593960.0335555,3.6685429134368897,37,0.235,2,135,15,False,0.39067019749042975,512,0.0062548788483580324,0.4703765085346072,0.9508719411922602,100
40,1587594303.0432556,2.39044530582428,69,0.39975,3,101,26,True,0.4091791240024675,1024,0.0070250515177090024,0.5233029376005416,0.9880113865039816,100
41,1587594518.2409973,3.3848975887298582,68,0.2075,2,128,18,False,0.3997645146760415,512,0.00756551222505932,0.4932269324885818,0.9977312454462888,100
42,1587594809.423396,2.982869381904602,78,0.32075,3,154,14,True,0.4544940745149653,512,0.008854817941627142,0.4893219979280598,0.950101479227898,100
43,1587594919.4246948,4.589439350128174,13,0.01725,3,117,30,False,0.39545261295241996,1024,0.007233254907456836,0.5408234358755318,0.9984631016093676,100
44,1587594998.3503256,4.605385093688965,4,0.009000000000000001,3,116,8,False,0.4743059170451868,512,0.009502480644897584,0.5256782357345984,0.9853022921261972,100
45,1587595286.5593815,2.554800678253174,65,0.36925,3,106,17,True,0.3760004818638607,1024,0.009437547710697977,0.5194316975830792,0.9591893771175038,100
46,1587595656.4354453,2.516548131942749,88,0.381,3,126,17,True,0.5376086620317999,1024,0.007111150212341249,0.4813088148202528,0.9552118305875348,100
47,1587595792.316429,4.6051725883483865,16,0.00975,2,148,28,True,0.5439458287169927,512,0.009151359569646071,0.5344999195605714,0.9665876032714452,100
48,1587595899.5925214,4.605300304412842,13,0.00875,3,122,10,False,0.3703182831355964,512,0.00981172845671775,0.4984844710175607,0.9792254325480536,100
49,1587596136.5525699,2.9200880641937257,76,0.28925,2,113,8,True,0.5455920838571122,1024,0.00549184442884707,0.5013370229011359,0.9728053227709399,100
50,1587596261.4113183,4.6052281913757325,15,0.0095,3,116,23,False,0.4973842019604764,1024,0.00980908277380077,0.46424046013775516,0.9553974352600195,100
